id,V1,V2,V3,V4,V5,,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,Q1,Q104,Q105,Q40,Q107,control,A1_StA1,A2_StA2,A3_ASt1,A4_ASt2,A5_StF1,A6_StF2,A7_FSt1,A8_FSt2,A9_StS1,A10_StS2,A11_SSt1,A12_SSt2,A13_AF1,A14_AF2,A15_FA1,A16_FA2,A17_AS1,A18_AS2,A19_SA1,A20_SA2,A21_FS1,A22_FS2,A23_SF1,A24_SF2,A25_StF,A26_StF,A27_AS,A28_AS,A29_Sst,A30_Sst,A31_FA,A32_FA,Q56,ma__a_3,ma__a_4,caneca_3,caneca_4,bone_3,bone4,choco3,choco4,queque3,queque4,presente_3,presente_4,caneta_3,caneta4,Q59,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q58,Q12,A1S,A2R,A3F,A4F,A5H_S,A6E,A7S,A8F,A9E,A10E,A11R,A12F,A13R,A14F,A15H_S,A16E,A17H_S,A18F,A19R,A20H_S,A21S,A22S,A23H_S,A24R,A25R,A26H_S,A27S,A28S,A29E,A30E,Q73_1_1,Q73_1_2,Q73_1_3,Q73_1_4,Q73_1_5,Q73_1_6,Q73_1_7,Q73_1_8,Q73_1_9,Q73_2_1,Q73_2_2,Q73_2_3,Q73_2_4,Q73_2_5,Q73_2_6,Q73_2_7,Q73_2_8,Q73_2_9,Q75_1_1,Q75_1_2,Q75_1_3,Q75_1_4,Q75_1_5,Q75_1_6,Q75_1_7,Q75_1_8,Q75_1_9,Q75_1_10,Q75_2_1,Q75_2_2,Q75_2_3,Q75_2_4,Q75_2_5,Q75_2_6,Q75_2_7,Q75_2_8,Q75_2_9,Q75_2_10,Q62,Q53,Q46,Q48,Q64,Q66,Q63,Q55,DO_BR_FL_11,DO_BL_critical,DO_BL_SOMI,DO_Q_control,DO_Q_1_StA1,DO_Q_2_StA2,DO_Q_3_ASt1,DO_Q_4_ASt2,DO_Q_ma__a_3,DO_Q_ma__a_4,DO_Q_caneca_3,DO_Q_caneca_4,DO_Q_bone_3,DO_Q_bone4,DO_Q_choco3,DO_Q_choco4,DO_Q_queque3,DO_Q_queque4,DO_Q_presente_3,DO_Q_presente_4,DO_Q_caneta_3,DO_Q_caneta4,DO_Q_5_StF1,DO_Q_6_StF2,DO_Q_7_FSt1,DO_Q_8_FSt2,DO_Q_9_StS1,DO_Q_10_StS2,DO_Q_11_SSt1,DO_Q_12_SSt2,DO_Q_13_AF1,DO_Q_14_AF2,DO_Q_15_FA1,DO_Q_16_FA2,DO_Q_17_AS1,DO_Q_18_AS2,DO_Q_19_SA1,DO_Q_20_SA2,DO_Q_21_FS1,DO_Q_22_FS2,DO_Q_23_SF1,DO_Q_24_SF2,DO_Q_25_StF,DO_Q_26_StF,DO_Q_27_AS,DO_Q_28_AS,DO_Q_29_Sst,DO_Q_30_Sst,DO_Q_31_FA,DO_Q_32_FA,,,LocationAccuracy,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,ambiente1,ambiente2,ambiente3,ambiente4,ambiente13,ambiente14,ambiente15,ambiente16,ambiente17,ambiente18,ambiente19,ambiente20,financeiro5,financeiro6,financeiro7,financeiro8,financeiro13,financeiro14,financeiro15,financeiro16,financeiro21,financeiro22,financeiro23,financeiro24,social9,social10,social11,social12,social17,social18,social19,social20,social21,social22,social23,social24,Scenario,escolha,Tem_Val,Comb,Dimension,dimension_rec,Q_comida_fora,Q_risk_aversion,Q_consumo_sustentavel,SOMI,Q_SOMI,PredictedProbability_01,PredictedValue
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,0,1,3,1,4, , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,15, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,16, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,17,0,0,5,2,2, , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,18,1,0,5,2,2, , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,20, , , , , , , , , , , , 
115,R_3MxSbvnwSrllGGY,Default Response Set,Anonymous, , ,,0,12/03/2019 14:40,12/03/2019 14:42,0,4,0.571428571,0.534522484,1, ,22,1,1,1, , , , , , , , , , , ,0, , , , ,0,1, , , , , , , , , , ,1, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,critical,29_Sst|31_FA|18_AS2|17_AS1|12_SSt2|6_StF2|32_FA|22_FS2|16_FA2|14_AF2|19_SA1|27_AS|21_FS1|13_AF1|24_SF2|4_ASt2|2_StA2|23_SF1|30_Sst|15_FA1|8_FSt2|11_SSt1|10_StS2|3_ASt1|20_SA2|7_FSt1|25_StF|1_StA1|9_StS1|26_StF|28_AS|5_StF1, ,1|0,1|0,1|0,1|0,1|0, , , , , , , , , , , , , , ,1|0,0|1,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,1|0,0|1,1|0,0|1,1|0,,,-1, , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , , , , 
